code;year;trial;state;dose;replicate;germination
FGT05;2007;1;RS;0,00;1;46
FGT05;2007;1;RS;0,00;2;44
FGT05;2007;1;RS;0.05;1;18
FGT05;2007;1;RS;0.05;2;24
FGT05;2007;1;RS;0.5;1;9
FGT05;2007;1;RS;0.5;2;11
FGT05;2007;1;RS;1.00;1;0
FGT05;2007;1;RS;1,00;2;0
FGT05;2007;1;RS;5.00;1;0
FGT05;2007;1;RS;5.00;2;0
FGT05;2007;1;RS;10,00;1;0
FGT05;2007;1;RS;10,00;2;0
FGT06;2007;1;RS;0,00;1;50
FGT06;2007;1;RS;0,00;2;50
FGT06;2007;1;RS;0.05;1;43
FGT06;2007;1;RS;0.05;2;44
FGT06;2007;1;RS;0.5;1;28
FGT06;2007;1;RS;0.5;2;27
FGT06;2007;1;RS;1,00;1;5
FGT06;2007;1;RS;1,00;2;2
FGT06;2007;1;RS;5,00;1;2
FGT06;2007;1;RS;5,00;2;0
FGT06;2007;1;RS;10,00;1;3
FGT06;2007;1;RS;10,00;2;0
FGT07;2007;1;RS;0,00;1;48
FGT07;2007;1;RS;0,00;2;49
FGT07;2007;1;RS;0.05;1;45
FGT07;2007;1;RS;0.05;2;43
FGT07;2007;1;RS;0.5;1;33
FGT07;2007;1;RS;0.5;2;31
FGT07;2007;1;RS;1,00;1;18
FGT07;2007;1;RS;1,00;2;26
FGT07;2007;1;RS;5,00;1;3
FGT07;2007;1;RS;5,00;2;4
FGT07;2007;1;RS;10,00;1;1
FGT07;2007;1;RS;10,00;2;0
FGT28;2007;1;RS;0,00;1;50
FGT28;2007;1;RS;0,00;2;50
FGT28;2007;1;RS;0.05;1;30
FGT28;2007;1;RS;0.05;2;38
FGT28;2007;1;RS;0.5;1;22
FGT28;2007;1;RS;0.5;2;18
FGT28;2007;1;RS;1,00;1;18
FGT28;2007;1;RS;1,00;2;14
FGT28;2007;1;RS;5,00;1;8
FGT28;2007;1;RS;5,00;2;14
FGT28;2007;1;RS;10,00;1;8
FGT28;2007;1;RS;10,00;2;8
FGT29;2007;1;RS;0,00;1;48
FGT29;2007;1;RS;0,00;2;50
FGT29;2007;1;RS;0.05;1;39
FGT29;2007;1;RS;0.05;2;42
FGT29;2007;1;RS;0.5;1;16
FGT29;2007;1;RS;0.5;2;16
FGT29;2007;1;RS;1,00;1;5
FGT29;2007;1;RS;1,00;2;9
FGT29;2007;1;RS;5,00;1;0
FGT29;2007;1;RS;5,00;2;0
FGT29;2007;1;RS;10,00;1;0
FGT29;2007;1;RS;10,00;2;0
FGT33;2008;1;RS;0,00;1;49
FGT33;2008;1;RS;0,00;2;50
FGT33;2008;1;RS;0.05;1;38
FGT33;2008;1;RS;0.05;2;30
FGT33;2008;1;RS;0.5;1;14
FGT33;2008;1;RS;0.5;2;4
FGT33;2008;1;RS;1,00;1;3
FGT33;2008;1;RS;1,00;2;1
FGT33;2008;1;RS;5,00;1;0
FGT33;2008;1;RS;5,00;2;0
FGT33;2008;1;RS;10,00;1;0
FGT33;2008;1;RS;10,00;2;0
FGT34;2008;1;RS;0,00;1;50
FGT34;2008;1;RS;0,00;2;50
FGT34;2008;1;RS;0.05;1;31
FGT34;2008;1;RS;0.05;2;37
FGT34;2008;1;RS;0.5;1;19
FGT34;2008;1;RS;0.5;2;15
FGT34;2008;1;RS;1,00;1;10
FGT34;2008;1;RS;1,00;2;2
FGT34;2008;1;RS;5,00;1;1
FGT34;2008;1;RS;5,00;2;0
FGT34;2008;1;RS;10,00;1;1
FGT34;2008;1;RS;10,00;2;0
FGT35;2008;1;RS;0,00;1;50
FGT35;2008;1;RS;0,00;2;49
FGT35;2008;1;RS;0.05;1;40
FGT35;2008;1;RS;0.05;2;43
FGT35;2008;1;RS;0.5;1;11
FGT35;2008;1;RS;0.5;2;16
FGT35;2008;1;RS;1,00;1;4
FGT35;2008;1;RS;1,00;2;2
FGT35;2008;1;RS;5,00;1;0
FGT35;2008;1;RS;5,00;2;0
FGT35;2008;1;RS;10,00;1;0
FGT35;2008;1;RS;10,00;2;0
FGT42;2008;1;RS;0,00;1;50
FGT42;2008;1;RS;0,00;2;50
FGT42;2008;1;RS;0.05;1;44
FGT42;2008;1;RS;0.05;2;43
FGT42;2008;1;RS;0.5;1;22
FGT42;2008;1;RS;0.5;2;26
FGT42;2008;1;RS;1,00;1;16
FGT42;2008;1;RS;1,00;2;12
FGT42;2008;1;RS;5,00;1;0
FGT42;2008;1;RS;5,00;2;5
FGT42;2008;1;RS;10,00;1;0
FGT42;2008;1;RS;10,00;2;0
FGT43;2008;1;RS;0,00;1;49
FGT43;2008;1;RS;0,00;2;50
FGT43;2008;1;RS;0.05;1;46
FGT43;2008;1;RS;0.05;2;43
FGT43;2008;1;RS;0.5;1;23
FGT43;2008;1;RS;0.5;2;25
FGT43;2008;1;RS;1,00;1;14
FGT43;2008;1;RS;1,00;2;17
FGT43;2008;1;RS;5,00;1;1
FGT43;2008;1;RS;5,00;2;1
FGT43;2008;1;RS;10,00;1;0
FGT43;2008;1;RS;10,00;2;0
152;2011;1;PR;0,00;1;48
152;2011;1;PR;0,00;2;49
152;2011;1;PR;0.05;1;42
152;2011;1;PR;0.05;2;42
152;2011;1;PR;0.5;1;12
152;2011;1;PR;0.5;2;19
152;2011;1;PR;1,00;1;0
152;2011;1;PR;1,00;2;1
152;2011;1;PR;5,00;1;0
152;2011;1;PR;5,00;2;0
152;2011;1;PR;10,00;1;0
152;2011;1;PR;10,00;2;0
153;2011;1;PR;0,00;1;50
